2024-04-17 09:06:22,439 - ERROR: Error occurred at 2024-04-17 09:06:22 - TCP IP: 10.68.110.242, Port: 2402, Run: 1, METERID: MET0127. Error: timed out
2024-04-17 09:13:47,086 - ERROR: Error occurred at 2024-04-17 09:13:47 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-04-17 09:17:21,277 - ERROR: Error occurred at 2024-04-17 09:17:21 - TCP IP: 10.68.111.128, Port: 2402, Run: 1, METERID: MET0287. Error: timed out
2024-04-17 09:17:40,930 - ERROR: Error occurred at 2024-04-17 09:17:40 - TCP IP: 10.68.111.128, Port: 2404, Run: 2, METERID: MET0287. Error: timed out
2024-04-17 09:30:19,151 - ERROR: Error occurred at 2024-04-17 09:30:19 - TCP IP: 10.68.111.197, Port: 2402, Run: 1, METERID: MET0722. Error: timed out
2024-04-17 09:30:34,156 - ERROR: Error occurred at 2024-04-17 09:30:34 - TCP IP: 10.68.111.197, Port: 2404, Run: 2, METERID: MET0722. Error: timed out
2024-04-17 09:45:11,315 - ERROR: Error occurred at 2024-04-17 09:45:11 - TCP IP: 10.68.111.44, Port: 2402, Run: 1, METERID: MET0679. Error: 400 Bad Request: Error: Unexpected response code from device fdfbfff7fffbf5ebfdfbfff7fff7f5ef!
2024-04-17 09:46:35,687 - ERROR: Error occurred at 2024-04-17 09:46:35 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0603. Error: [WinError 10061] No connection could be made because the target machine actively refused it
2024-04-17 15:05:22,981 - ERROR: Error occurred at 2024-04-17 15:05:22 - TCP IP: 10.68.111.183, Port: 2404, Run: 1, METERID: MET0450. Error: invalid literal for int() with base 16: ''
2024-04-17 15:05:38,005 - ERROR: Error occurred at 2024-04-17 15:05:38 - TCP IP: 10.68.110.242, Port: 2402, Run: 1, METERID: MET0127. Error: timed out
2024-04-17 15:13:16,411 - ERROR: Error occurred at 2024-04-17 15:13:16 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-04-17 15:15:13,299 - ERROR: Error occurred at 2024-04-17 15:15:13 - TCP IP: 10.68.110.240, Port: 2402, Run: 1, METERID: MET0271. Error: timed out
2024-04-17 15:20:15,495 - ERROR: Error occurred at 2024-04-17 15:20:15 - TCP IP: 10.68.111.24, Port: 2402, Run: 1, METERID: MET0172. Error: timed out
2024-04-17 15:31:06,436 - ERROR: Error occurred at 2024-04-17 15:31:06 - TCP IP: 10.68.111.197, Port: 2402, Run: 1, METERID: MET0722. Error: timed out
2024-04-17 15:31:21,441 - ERROR: Error occurred at 2024-04-17 15:31:21 - TCP IP: 10.68.111.197, Port: 2404, Run: 2, METERID: MET0722. Error: timed out
2024-04-17 15:47:43,082 - ERROR: Error occurred at 2024-04-17 15:47:43 - TCP IP: 10.68.111.44, Port: 2402, Run: 1, METERID: MET0679. Error: 400 Bad Request: Error: Unexpected response code from device fdfbfff7fff7f5ef!
2024-04-17 15:49:10,974 - ERROR: Error occurred at 2024-04-17 15:49:10 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0603. Error: [WinError 10061] No connection could be made because the target machine actively refused it
2024-04-18 06:13:16,419 - ERROR: Error occurred at 2024-04-18 06:13:16 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-04-18 06:30:27,209 - ERROR: Error occurred at 2024-04-18 06:30:27 - TCP IP: 10.68.111.197, Port: 2402, Run: 1, METERID: MET0722. Error: timed out
2024-04-18 06:30:42,217 - ERROR: Error occurred at 2024-04-18 06:30:42 - TCP IP: 10.68.111.197, Port: 2404, Run: 2, METERID: MET0722. Error: timed out
2024-04-18 06:45:37,304 - ERROR: Error occurred at 2024-04-18 06:45:37 - TCP IP: 10.68.111.44, Port: 2402, Run: 1, METERID: MET0679. Error: 400 Bad Request: Error: Unexpected response code from device fdfbfff7fff7f5ef!
2024-04-18 06:47:03,071 - ERROR: Error occurred at 2024-04-18 06:47:03 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0603. Error: [WinError 10061] No connection could be made because the target machine actively refused it
2024-04-18 15:05:41,115 - ERROR: Error occurred at 2024-04-18 15:05:41 - TCP IP: 10.68.110.242, Port: 2402, Run: 1, METERID: MET0127. Error: timed out
2024-04-18 15:13:14,871 - ERROR: Error occurred at 2024-04-18 15:13:14 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-04-18 15:20:24,522 - ERROR: Error occurred at 2024-04-18 15:20:24 - TCP IP: 10.68.111.24, Port: 2402, Run: 1, METERID: MET0172. Error: timed out
2024-04-18 15:30:48,900 - ERROR: Error occurred at 2024-04-18 15:30:48 - TCP IP: 10.68.111.197, Port: 2402, Run: 1, METERID: MET0722. Error: timed out
2024-04-18 15:31:03,906 - ERROR: Error occurred at 2024-04-18 15:31:03 - TCP IP: 10.68.111.197, Port: 2404, Run: 2, METERID: MET0722. Error: timed out
2024-04-18 15:33:00,416 - ERROR: Error occurred at 2024-04-18 15:33:00 - TCP IP: 10.68.110.82, Port: 2402, Run: 1, METERID: MET0672. Error: timed out
2024-04-18 15:46:27,721 - ERROR: Error occurred at 2024-04-18 15:46:27 - TCP IP: 10.68.111.44, Port: 2402, Run: 1, METERID: MET0679. Error: 400 Bad Request: Error: Unexpected response code from device fdfbfff7fff7f5ef!
2024-04-18 15:47:53,002 - ERROR: Error occurred at 2024-04-18 15:47:53 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0603. Error: [WinError 10061] No connection could be made because the target machine actively refused it
2024-04-19 06:13:11,239 - ERROR: Error occurred at 2024-04-19 06:13:11 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-04-19 06:26:38,221 - ERROR: Error occurred at 2024-04-19 06:26:38 - TCP IP: 10.68.111.219, Port: 4002, Run: 2, METERID: MET0713. Error: 400 Bad Request: Error: Unexpected response code from device 3f800000f7cf0103083f80000000010002874a!
2024-04-19 06:28:50,268 - ERROR: Error occurred at 2024-04-19 06:28:50 - TCP IP: 10.68.110.241, Port: 2402, Run: 1, METERID: MET0496. Error: timed out
2024-04-19 06:29:59,724 - ERROR: Error occurred at 2024-04-19 06:29:59 - TCP IP: 10.68.111.197, Port: 2402, Run: 1, METERID: MET0722. Error: timed out
2024-04-19 06:30:14,809 - ERROR: Error occurred at 2024-04-19 06:30:14 - TCP IP: 10.68.111.197, Port: 2404, Run: 2, METERID: MET0722. Error: timed out
2024-04-19 06:45:04,062 - ERROR: Error occurred at 2024-04-19 06:45:04 - TCP IP: 10.68.111.44, Port: 2402, Run: 1, METERID: MET0679. Error: 400 Bad Request: Error: Unexpected response code from device fdfbfff7fff7f5ef!
2024-04-19 06:46:27,519 - ERROR: Error occurred at 2024-04-19 06:46:27 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0603. Error: [WinError 10061] No connection could be made because the target machine actively refused it
2024-04-19 15:05:41,377 - ERROR: Error occurred at 2024-04-19 15:05:41 - TCP IP: 10.68.110.242, Port: 2402, Run: 1, METERID: MET0127. Error: timed out
2024-04-19 15:13:15,604 - ERROR: Error occurred at 2024-04-19 15:13:15 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-04-19 15:20:15,957 - ERROR: Error occurred at 2024-04-19 15:20:15 - TCP IP: 10.68.111.24, Port: 2402, Run: 1, METERID: MET0172. Error: timed out
2024-04-19 15:30:38,597 - ERROR: Error occurred at 2024-04-19 15:30:38 - TCP IP: 10.68.111.197, Port: 2402, Run: 1, METERID: MET0722. Error: timed out
2024-04-19 15:30:53,602 - ERROR: Error occurred at 2024-04-19 15:30:53 - TCP IP: 10.68.111.197, Port: 2404, Run: 2, METERID: MET0722. Error: timed out
2024-04-19 15:46:06,662 - ERROR: Error occurred at 2024-04-19 15:46:06 - TCP IP: 10.68.111.44, Port: 2402, Run: 1, METERID: MET0679. Error: 400 Bad Request: Error: Unexpected response code from device fdfbfff7fff7f5ef!
2024-04-19 15:47:33,136 - ERROR: Error occurred at 2024-04-19 15:47:33 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0603. Error: [WinError 10061] No connection could be made because the target machine actively refused it
2024-04-20 06:13:11,407 - ERROR: Error occurred at 2024-04-20 06:13:11 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-04-20 06:30:26,471 - ERROR: Error occurred at 2024-04-20 06:30:26 - TCP IP: 10.68.111.197, Port: 2402, Run: 1, METERID: MET0722. Error: timed out
2024-04-20 06:30:41,476 - ERROR: Error occurred at 2024-04-20 06:30:41 - TCP IP: 10.68.111.197, Port: 2404, Run: 2, METERID: MET0722. Error: timed out
2024-04-20 06:41:50,383 - ERROR: Error occurred at 2024-04-20 06:41:50 - TCP IP: 10.68.110.165, Port: 2402, Run: 1, METERID: MET0443. Error: timed out
2024-04-20 06:42:27,747 - ERROR: Error occurred at 2024-04-20 06:42:27 - TCP IP: 10.68.110.165, Port: 2404, Run: 2, METERID: MET0443. Error: invalid literal for int() with base 16: ''
2024-04-20 06:45:46,749 - ERROR: Error occurred at 2024-04-20 06:45:46 - TCP IP: 10.68.111.44, Port: 2402, Run: 1, METERID: MET0679. Error: 400 Bad Request: Error: Unexpected response code from device fdfbfff7fff7f5ef!
2024-04-20 06:47:12,039 - ERROR: Error occurred at 2024-04-20 06:47:12 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0603. Error: [WinError 10061] No connection could be made because the target machine actively refused it
2024-04-20 15:05:42,415 - ERROR: Error occurred at 2024-04-20 15:05:42 - TCP IP: 10.68.110.242, Port: 2402, Run: 1, METERID: MET0127. Error: timed out
2024-04-20 15:09:58,858 - ERROR: Error occurred at 2024-04-20 15:09:58 - TCP IP: 10.68.110.15, Port: 4004, Run: 2, METERID: MET0312. Error: timed out
2024-04-20 15:13:16,342 - ERROR: Error occurred at 2024-04-20 15:13:16 - TCP IP: 10.68.111.137, Port: 4003, Run: 3, METERID: MET0763. Error: ORA-00984: un nom de colonne n'est pas autorisé ici
2024-04-20 15:20:12,940 - ERROR: Error occurred at 2024-04-20 15:20:12 - TCP IP: 10.68.111.24, Port: 2402, Run: 1, METERID: MET0172. Error: timed out
2024-04-20 15:30:36,819 - ERROR: Error occurred at 2024-04-20 15:30:36 - TCP IP: 10.68.111.197, Port: 2402, Run: 1, METERID: MET0722. Error: timed out
2024-04-20 15:30:51,825 - ERROR: Error occurred at 2024-04-20 15:30:51 - TCP IP: 10.68.111.197, Port: 2404, Run: 2, METERID: MET0722. Error: timed out
2024-04-20 15:46:06,841 - ERROR: Error occurred at 2024-04-20 15:46:06 - TCP IP: 10.68.111.44, Port: 2402, Run: 1, METERID: MET0679. Error: 400 Bad Request: Error: Unexpected response code from device fdfbfff7fff7f5ef!
2024-04-20 15:47:33,453 - ERROR: Error occurred at 2024-04-20 15:47:33 - TCP IP: 10.68.110.151, Port: 2402, Run: 1, METERID: MET0603. Error: [WinError 10061] No connection could be made because the target machine actively refused it
2024-04-21 06:00:42,089 - ERROR: Error occurred at 2024-04-21 06:00:42 - TCP IP: 10.72.191.170, Port: 2404, Run: 1, METERID: MET0655. Error: [WinError 10061] No connection could be made because the target machine actively refused it
2024-04-21 06:05:11,785 - ERROR: Error occurred at 2024-04-21 06:05:11 - TCP IP: 10.68.110.242, Port: 2402, Run: 1, METERID: MET0127. Error: timed out
